NC,ponderab,edad,edadr,sexo,dep,prov,dist,macrozona,zona2,ambito2,zonali1,zonali2,region,ur,ambito,hogar,hijos18,edu,edu2,edupadre,edupadre2,edumadre,edumadre2,origen,ocupa,ocupa2,NSE,NSE1,NSE2,P01,P02,P02a,P03,P03a,P05,P05a,P06,P06a,P07,P08,P09,P09a,P10,P12,p12a,P13,P14,P15,yhogar,yhogar_pc1,yhogar_pc2,P16,P16a,P16b,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P28a,P29,P29a,P30,P30a,P32,P32a,P33,P34,P35,P36,P37,P37otros,P37a,P37b,P38,P38a,P38b,etnicidad,etnicidad2,lengua,lengua2,ideología,ideología2
203204377,0.874398828,47,3,2,10,1001,100101,3,6,2,,,2,1,2,7,2,4,1,1,1,1,1,1,8,1,7,4,3,1,8,3,5,2,10,3,10,3,4,1,4,1,4,3,2,1,,1000,1,142.86,1,4,2,3,2,1,1,2,1,99,1,1,1,1,1,10,3,10,3,10,3,5,2,2,2,2,2,2,"",2,2,1,1,1,3,3,1,1,5,2
203203954,1.059997199,19,1,1,4,401,40107,4,7,2,,,2,1,2,4,2,8,2,9,2,7,2,2,3,1,6,3,2,3,7,3,9,3,8,3,10,3,4,1,4,1,2,3,2,2,,3000,3,750,3,1,1,1,1,2,1,2,2,3,2,1,2,2,1,10,3,8,3,7,3,9,3,2,2,2,2,2,"",2,2,8,3,3,2,2,7,2,4,1
203203951,0.874398828,40,3,2,12,1205,120501,3,6,2,,,2,1,2,4,2,5,1,3,1,3,1,1,1,1,7,4,3,3,7,3,8,3,3,1,5,2,1,3,2,2,2,3,2,3,,1200,2,300,1,4,2,3,3,3,1,4,3,2,3,1,3,1,1,8,3,3,1,8,3,6,2,2,2,2,2,1,"",1,1,6,2,2,2,2,7,2,5,2
203203818,0.874398828,47,3,2,23,2301,230101,4,4,2,,,1,1,2,3,1,5,1,5,1,5,1,1,6,2,5,3,2,3,10,3,5,2,8,3,2,1,4,1,3,1,5,3,2,3,1,1500,2,500,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,9,3,10,3,5,2,8,3,2,2,2,2,2,"",2,2,4,1,1,2,2,7,2,5,2
203203141,0.860527929,25,2,2,3,301,30101,4,7,2,,,2,1,2,4,1,5,1,5,1,5,1,1,1,1,7,4,3,3,3,1,6,2,5,2,4,1,4,2,4,1,5,3,2,2,2,600,1,150,1,2,1,1,3,1,2,2,1,1,2,1,1,1,1,7,3,7,3,8,3,4,1,2,2,2,1,77,DELINCUENCIA,4,4,5,2,2,2,2,7,2,6,2
203202980,1.390799054,20,1,2,4,401,40101,4,7,2,,,2,2,3,3,2,10,2,7,2,5,1,2,7,2,7,4,3,3,10,3,1,1,1,1,10,3,4,1,4,1,3,3,2,2,,3000,3,1000,4,3,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,10,3,10,3,1,2,2,2,6,"",5,5,10,3,3,1,1,7,2,1,1
203202798,0.906404751,52,3,1,8,805,80505,4,7,2,,,2,1,2,4,2,7,2,99,99,3,1,1,1,1,5,3,2,3,1,1,1,1,3,1,7,3,3,99,3,1,3,2,2,1,,1500,2,375,2,2,1,1,2,2,4,4,4,99,3,2,3,2,1,,,8,3,10,3,8,3,2,2,1,2,3,"",3,3,3,1,1,1,1,7,2,8,3
203202740,0.860527929,37,2,2,5,504,50401,4,7,2,,,2,1,2,5,1,7,2,7,2,6,2,2,6,2,6,3,2,5,6,2,6,2,7,3,5,2,4,1,3,1,3,3,2,3,1,2500,3,500,2,3,2,2,4,3,1,2,4,2,2,2,1,2,1,5,2,8,3,8,3,8,3,2,2,2,2,3,"",3,3,6,2,2,98,4,7,2,1,1
203202727,1.170407903,27,2,2,3,302,30202,4,7,2,,,2,2,3,6,1,5,1,2,1,6,2,2,8,1,7,4,3,3,4,1,7,3,6,2,4,1,2,1,3,1,1,4,3,1,1,2000,2,333.33,2,4,2,3,2,2,1,2,4,4,1,1,3,1,1,10,3,7,3,7,3,8,3,2,2,2,1,2,"",2,2,3,1,1,2,2,7,2,6,2
203202538,1.170407903,36,2,2,12,1201,120101,3,6,2,,,2,2,3,4,1,7,2,5,1,5,1,1,1,1,6,3,2,3,8,3,5,2,8,3,10,3,4,2,3,1,2,3,2,1,1,3000,3,750,3,2,1,1,3,2,2,2,3,2,3,2,3,2,1,10,3,10,3,1,1,1,1,2,2,1,2,4,"",4,4,1,1,1,2,2,7,2,10,3
203202435,0.906404751,47,3,1,4,402,40201,4,4,2,,,1,1,2,4,2,7,2,5,1,5,1,1,1,1,6,3,2,4,4,1,5,2,8,3,5,2,4,2,3,1,5,3,2,1,,2500,3,625,3,2,1,1,2,2,2,3,2,2,2,2,2,1,1,6,2,5,2,6,2,7,3,2,2,2,2,77,COMBATIR A LA POBREZA,3,3,5,2,2,2,2,7,2,6,2
203202324,0.892026131,37,2,1,4,401,40101,4,7,2,,,2,1,2,4,2,7,2,10,2,10,2,2,1,1,2,1,1,3,1,1,1,1,1,1,10,3,4,3,1,2,1,3,2,2,,2500,3,625,3,2,1,1,4,4,1,4,4,4,1,1,1,1,1,1,1,10,3,1,1,10,3,2,1,1,2,1,"",1,1,1,1,1,1,1,7,2,5,2
203202275,1.059997199,18,1,1,18,1803,180301,4,4,2,,,1,1,2,3,2,5,1,7,2,7,2,2,3,1,5,3,2,3,10,3,10,3,10,3,10,3,4,1,4,1,2,2,2,1,,1500,2,500,2,,,,3,99,1,3,1,3,2,3,3,4,1,10,3,10,3,10,3,8,3,99,99,2,99,6,"",5,5,9,3,3,98,4,7,2,8,3
203202244,0.874398828,63,3,2,23,2304,230401,4,7,2,,,2,1,2,2,2,5,1,3,1,3,1,1,6,2,7,4,3,3,1,1,5,2,1,1,10,3,3,99,1,2,5,4,3,2,,1000,1,500,2,2,1,1,1,1,2,3,4,99,1,1,2,1,1,,,10,3,10,3,10,3,2,2,1,2,3,"",3,3,7,3,3,2,2,7,2,7,3
203202228,0.892026131,35,2,1,23,2301,230101,4,4,2,,,1,1,2,3,1,9,2,9,2,5,1,2,1,1,7,4,3,4,1,1,3,1,1,1,1,1,4,1,4,1,5,4,3,1,1,3000,3,1000,4,2,1,1,2,2,2,3,3,3,3,1,1,1,1,10,3,10,3,10,3,10,3,2,2,2,2,2,"",2,2,1,1,1,2,2,7,2,8,3
203202025,1.059997199,19,1,1,3,301,30101,4,7,2,,,2,1,2,6,2,7,2,7,2,7,2,2,3,1,7,4,3,3,3,1,3,1,5,2,10,3,3,1,3,1,1,3,2,2,,6000,4,1000,4,2,1,1,2,2,1,2,2,2,2,1,2,2,1,7,3,10,3,5,2,8,3,1,1,1,1,2,"",2,2,1,1,1,2,2,7,2,5,2
203201950,1.059997199,22,1,1,4,401,40101,4,7,2,,,2,1,2,5,2,5,1,5,1,5,1,1,1,1,5,3,2,3,1,1,1,1,1,1,10,3,4,1,1,2,2,3,2,2,,2000,2,400,2,2,1,1,1,1,1,4,4,4,1,1,1,1,1,10,3,10,3,1,1,10,3,2,1,1,2,1,"",1,1,10,3,3,2,2,7,2,5,2
203201914,1.189273775,52,3,2,15,1506,150603,3,3,2,,,1,2,3,2,2,4,1,3,1,3,1,1,8,1,7,4,3,3,10,3,10,3,5,2,5,2,4,2,4,1,5,4,3,2,,2000,2,1000,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,10,3,10,3,10,3,10,3,1,2,1,2,4,"",4,4,1,1,1,2,2,7,2,5,2
203201884,0.860527929,34,2,2,3,301,30101,4,7,2,,,2,1,2,4,1,5,1,5,1,5,1,1,6,2,7,4,3,4,9,3,10,3,7,3,10,3,2,3,4,1,3,1,1,2,1,1800,2,450,2,,,,99,3,99,1,99,3,1,1,1,1,1,7,3,9,3,10,3,5,2,2,2,2,2,1,"",1,1,9,3,3,2,2,7,2,6,2
203201827,0.860527929,25,2,2,3,301,30101,4,7,2,,,2,1,2,4,2,5,1,4,1,3,1,1,8,1,7,4,3,3,3,1,2,1,1,1,4,1,3,1,3,1,3,3,2,2,,800,1,200,1,3,2,2,2,1,1,1,2,2,1,1,2,1,1,7,3,5,2,8,3,8,3,2,2,2,2,3,"",3,3,1,1,1,2,2,1,1,4,1
203201337,0.860527929,32,2,2,5,501,50101,4,7,2,,,2,1,2,4,1,9,2,5,1,5,1,1,8,1,5,3,2,3,10,3,10,3,10,3,99,99,4,2,4,1,2,4,3,1,1,2500,3,625,3,3,2,2,2,2,2,1,3,1,3,1,2,2,1,10,3,10,3,10,3,10,3,2,2,1,99,4,"",4,4,7,3,3,2,2,7,2,5,2
203200843,1.232805175,50,3,1,5,503,50302,4,7,2,,,2,2,3,4,1,3,1,1,1,1,1,1,1,1,8,5,3,3,10,3,10,3,10,3,1,1,1,1,4,1,5,4,3,3,3,2000,2,500,2,4,2,3,4,4,4,4,4,99,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,"",4,4,1,1,1,3,3,1,1,99,
203199535,0.860527929,32,2,2,5,501,50104,4,7,2,,,2,1,2,9,2,7,2,3,1,1,1,1,8,1,5,3,2,4,4,1,8,3,5,2,7,3,4,2,4,1,2,4,3,1,,6000,4,666.67,3,2,1,1,1,2,2,3,4,3,3,1,3,2,1,10,3,6,2,3,1,10,3,1,2,1,2,77,MEJORES CARRETERAS,6,77,1,1,1,3,3,7,2,99,
203198889,1.059997199,18,1,1,11,1101,110106,4,4,2,,,1,1,2,5,2,5,1,3,1,3,1,1,1,1,8,5,3,4,6,2,1,1,1,1,8,3,4,1,4,1,5,4,3,2,,1500,2,300,1,4,2,3,2,2,3,3,3,3,1,1,1,1,,10,3,10,3,10,3,,,2,2,2,2,2,"",2,2,5,2,2,2,2,7,2,5,2
203198683,0.874398828,50,3,2,15,1506,150601,3,3,2,,,1,1,2,4,2,3,1,5,1,7,2,2,5,2,5,3,2,4,1,1,1,1,3,1,1,1,4,1,4,1,3,2,2,1,,2000,2,500,2,3,2,2,3,1,1,1,3,2,1,1,3,3,1,10,3,10,3,10,3,10,3,2,2,2,2,1,"",1,1,10,3,3,2,2,7,2,10,3
203197803,0.906404751,58,3,1,12,1201,120114,3,6,2,,,2,1,2,5,2,9,2,2,1,1,1,1,1,1,5,3,2,3,3,1,1,1,6,2,2,1,2,1,4,1,5,4,3,3,,1500,2,300,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,10,3,10,3,10,3,5,2,2,2,2,2,2,"",2,2,1,1,1,2,2,7,2,5,2
203197705,1.232805175,41,3,1,15,1502,150203,3,3,2,,,1,2,3,7,2,5,1,99,99,2,1,1,1,1,8,5,3,3,10,3,1,1,3,1,1,1,3,3,4,1,2,4,3,2,,2000,2,285.71,1,4,2,3,3,1,1,3,3,2,3,1,2,1,1,10,3,10,3,10,3,6,2,2,2,2,2,3,"",3,3,10,3,3,2,2,7,2,6,2
203197498,0.874398828,45,3,2,10,1001,100101,3,6,2,,,2,1,2,3,2,9,2,6,2,5,1,2,3,1,6,3,2,3,6,2,8,3,6,2,5,2,4,1,3,1,1,3,2,1,,2500,3,833.33,3,3,2,2,1,2,1,2,3,1,2,2,2,1,1,7,3,6,2,7,3,7,3,2,2,2,2,1,"",1,1,5,2,2,2,2,7,2,4,1
203196834,0.892026131,36,2,1,15,1506,150601,3,3,2,,,1,1,2,3,1,5,1,5,1,5,1,1,1,1,8,5,3,2,6,2,5,2,2,1,5,2,4,1,4,1,5,4,3,3,3,1500,2,500,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,10,3,10,3,10,3,10,3,2,2,2,2,1,"",1,1,1,1,1,98,4,7,2,5,2
203196149,0.874398828,44,3,2,18,1803,180301,4,4,2,,,1,1,2,5,1,8,2,6,2,7,2,2,3,1,4,2,1,3,10,3,1,1,10,3,10,3,4,1,4,1,2,3,2,1,1,10000,4,2000,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,10,3,10,3,2,2,2,2,1,"",1,1,1,1,1,2,2,7,2,10,3
203196019,0.892026131,27,2,1,15,1502,150201,3,3,2,,,1,1,2,7,2,5,1,7,2,5,1,2,1,1,5,3,2,4,1,1,1,1,1,1,10,3,1,3,1,2,3,3,2,2,,2000,2,285.71,1,2,1,1,1,1,1,4,4,4,1,1,1,1,1,10,3,10,3,1,1,10,3,2,1,1,2,1,"",1,1,10,3,3,2,2,7,2,5,2
203195524,0.860527929,32,2,2,15,1505,150502,3,3,2,,,1,1,2,6,1,6,2,5,1,4,1,1,6,2,5,3,2,3,1,1,5,2,7,3,1,1,4,2,4,1,1,4,3,1,1,3500,4,583.33,3,3,2,2,1,2,2,2,3,2,2,2,2,1,1,8,3,7,3,1,1,10,3,2,2,1,1,1,"",1,1,7,3,3,2,2,7,2,5,2
203195430,0.860527929,39,2,2,15,1502,150201,3,3,2,,,1,1,2,6,2,5,1,2,1,4,1,1,6,2,8,5,3,2,5,2,5,2,5,2,10,3,4,1,3,1,2,3,2,1,,3000,3,500,2,3,2,2,1,1,1,1,1,3,1,1,1,1,1,10,3,5,2,10,3,10,3,1,2,1,2,2,"",2,2,1,1,1,2,2,7,2,4,1
203195165,1.201828184,36,2,2,15,1501,150106,1,1,1,3,3,1,1,1,7,1,5,1,9,2,5,1,2,6,2,4,2,1,3,1,1,1,1,6,2,5,2,2,2,2,2,5,3,2,3,1,5000,4,714.29,3,3,2,2,2,3,3,3,4,1,1,1,1,1,1,10,3,5,2,10,3,10,3,2,2,2,2,1,"",1,1,5,2,2,1,1,7,2,8,3
203194555,0.892026131,30,2,1,4,405,40513,4,7,2,,,2,1,2,5,2,7,2,3,1,5,1,1,1,1,5,3,2,3,1,1,3,1,5,2,10,3,4,1,3,1,2,3,2,1,,3000,3,600,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,5,2,1,1,5,2,2,2,2,2,2,"",2,2,1,1,1,2,2,7,2,5,2
203194069,0.860527929,32,2,2,10,1003,100301,3,6,2,,,2,1,2,2,1,5,1,1,1,1,1,1,6,2,7,4,3,4,3,1,2,1,5,2,5,2,2,1,4,1,3,2,2,1,1,7000,4,3500,4,3,2,2,2,1,1,1,3,3,1,4,3,3,1,10,3,10,3,5,2,5,2,2,2,2,2,2,"",2,2,10,3,3,8,3,7,2,5,2
203193876,0.874398828,42,3,2,4,401,40103,4,7,2,,,2,1,2,2,2,9,2,9,2,9,2,2,1,1,4,2,1,3,7,3,5,2,8,3,10,3,3,1,4,1,2,2,2,1,,5000,4,2500,4,2,1,1,1,2,3,3,2,3,1,1,2,1,1,8,3,5,2,5,2,10,3,2,2,2,2,4,"",4,4,1,1,1,2,2,7,2,10,3
203193725,0.874398828,58,3,2,15,1508,150811,3,3,2,,,1,1,2,3,2,5,1,3,1,3,1,1,6,2,5,3,2,3,5,2,5,2,9,3,2,1,2,1,4,1,3,3,2,1,,5000,4,1666.67,4,2,1,1,1,2,1,2,4,2,1,1,2,1,1,9,3,3,1,5,2,2,1,2,1,2,1,1,"",1,1,6,2,2,2,2,7,2,6,2
203193715,0.860527929,30,2,2,4,401,40101,4,7,2,,,2,1,2,5,2,9,2,9,2,7,2,2,3,1,2,1,1,4,1,1,1,1,10,3,5,2,2,2,2,2,3,2,2,1,,3000,3,600,3,1,1,1,1,2,2,3,3,1,3,2,3,1,1,10,3,10,3,10,3,10,3,2,2,1,99,1,"",1,1,8,3,3,1,1,7,2,10,3
203193497,0.860527929,32,2,2,3,302,30201,4,7,2,,,2,1,2,2,2,7,2,10,2,5,1,2,1,1,3,2,1,3,1,1,3,1,1,1,5,2,4,1,2,2,2,3,2,1,,1000,1,500,2,2,1,1,1,1,1,3,1,2,2,1,2,1,1,5,2,9,3,10,3,7,3,2,2,1,1,4,"",4,4,10,3,3,2,2,7,2,5,2
203193380,0.892026131,33,2,1,12,1205,120501,3,6,2,,,2,1,2,7,2,7,2,5,1,5,1,1,1,1,3,2,1,3,10,3,1,1,1,1,10,3,4,1,1,2,3,3,2,2,,1500,2,214.29,1,2,1,1,2,1,1,4,4,2,1,1,1,1,1,10,3,10,3,1,1,10,3,2,1,1,2,2,"",2,2,1,1,1,2,2,7,2,10,3
203193239,0.892026131,35,2,1,5,501,50104,4,7,2,,,2,1,2,7,2,5,1,3,1,2,1,1,1,1,7,4,3,3,2,1,4,1,3,1,7,3,4,1,1,2,1,3,2,1,,3500,4,500,2,3,2,2,1,1,2,2,2,4,2,1,1,1,1,5,2,6,2,5,2,5,2,2,2,2,2,1,"",1,1,5,2,2,3,3,7,2,5,2
203193200,0.874398828,42,3,2,15,1504,150401,3,6,2,,,2,1,2,4,2,7,2,7,2,7,2,2,3,1,4,2,1,3,5,2,5,2,10,3,10,3,1,1,3,1,4,4,3,1,,2500,3,625,3,4,2,3,3,2,1,2,2,3,1,1,1,1,1,10,3,6,2,10,3,5,2,2,2,2,2,2,"",2,2,8,3,3,98,4,7,2,6,2
203193090,0.892026131,34,2,1,12,1203,120301,5,8,2,,,3,1,2,5,1,7,2,9,2,9,2,2,1,1,7,4,3,4,5,2,5,2,10,3,10,3,4,1,4,1,2,3,2,2,3,1800,2,360,2,2,1,1,3,1,1,4,3,3,1,1,1,1,1,10,3,10,3,7,3,10,3,2,2,2,2,77,CORRUPCIÓN,77,77,10,3,3,5,3,7,2,10,3
203193056,0.906404751,46,3,1,23,2301,230103,4,4,2,,,1,1,2,4,1,7,2,7,2,7,2,2,1,1,5,3,2,2,10,3,3,1,1,1,5,2,3,2,3,1,4,3,2,1,1,2500,3,625,3,3,2,2,1,1,2,3,4,2,2,1,2,1,1,10,3,2,1,5,2,5,2,2,2,1,2,2,"",2,2,5,2,2,2,2,7,2,5,2
203192864,1.059997199,21,1,1,3,301,30103,4,7,2,,,2,1,2,8,1,5,1,5,1,99,99,1,1,1,4,2,1,3,10,3,10,3,10,3,10,3,4,1,4,1,2,3,2,1,1,3000,3,375,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,10,3,10,3,10,3,10,3,2,2,2,2,4,"",4,4,10,3,3,2,2,7,2,10,3
203192850,0.892026131,35,2,1,4,401,40101,4,7,2,,,2,1,2,5,2,5,1,5,1,5,1,1,1,1,6,3,2,3,1,1,1,1,1,1,10,3,4,1,3,1,1,3,2,2,,2500,3,500,2,2,1,1,1,1,1,4,4,4,1,1,1,1,1,10,3,10,3,1,1,10,3,2,2,2,2,1,"",1,1,1,1,1,2,2,7,2,5,2
203192628,0.892026131,30,2,1,3,301,30101,4,7,2,,,2,1,2,10,1,7,2,5,1,7,2,2,3,1,4,2,1,3,10,3,10,3,10,3,10,3,4,1,4,1,1,3,2,1,1,2500,3,250,1,3,2,2,3,1,2,2,4,4,2,3,2,1,1,10,3,10,3,10,3,10,3,2,2,2,2,6,"",5,5,10,3,3,98,4,7,2,8,3
203192580,0.906404751,45,3,1,4,401,40101,4,7,2,,,2,1,2,7,1,7,2,3,1,2,1,1,1,1,7,4,3,3,2,1,4,1,1,1,10,3,4,1,4,1,1,3,2,1,1,4000,4,571.43,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,10,3,10,3,10,3,10,3,2,2,2,2,1,"",1,1,1,1,1,2,2,7,2,1,1
203192551,0.860527929,26,2,2,18,1803,180301,4,4,2,,,1,1,2,4,2,6,2,5,1,5,1,1,3,1,6,3,2,3,3,1,3,1,8,3,10,3,2,1,2,2,5,3,2,1,,1000,1,250,1,2,1,1,1,2,1,3,2,1,2,2,1,1,1,10,3,8,3,10,3,10,3,2,2,2,2,2,"",2,2,7,3,3,2,2,7,2,10,3
203191991,0.564066872,29,2,1,15,1501,150135,1,1,1,3,3,1,1,1,5,1,7,2,7,2,3,1,2,1,1,8,5,3,3,1,1,2,1,5,2,10,3,2,1,2,2,5,3,2,2,2,2000,2,400,2,3,2,2,2,1,2,1,1,2,2,2,2,1,1,10,3,8,3,10,3,10,3,2,2,1,2,6,"",5,5,5,2,2,2,2,7,2,5,2
203191967,0.860527929,28,2,2,12,1201,120107,3,6,2,,,2,1,2,3,2,5,1,1,1,1,1,1,1,1,7,4,3,2,1,1,1,1,1,1,10,3,3,1,4,1,2,3,2,1,,6000,4,2000,4,1,1,1,1,1,1,1,4,4,1,1,1,1,1,10,3,10,3,10,3,10,3,2,2,2,2,2,"",2,2,10,3,3,2,2,7,2,10,3
203191540,1.022567796,24,1,2,4,402,40207,4,4,2,,,1,1,2,6,2,5,1,5,1,5,1,1,3,1,6,3,2,3,10,3,10,3,10,3,10,3,3,1,3,1,1,3,2,1,,7000,4,1166.67,4,1,1,1,2,1,2,2,1,1,2,1,1,1,1,10,3,10,3,10,3,10,3,2,2,2,2,2,"",2,2,5,2,2,1,1,7,2,6,2
203191384,0.874398828,60,3,2,4,401,40102,4,7,2,,,2,1,2,6,2,5,1,2,1,2,1,1,5,2,7,4,3,3,1,1,1,1,1,1,10,3,4,1,2,2,1,3,2,1,,,,,,3,2,2,1,1,2,2,3,99,1,1,1,1,1,10,3,10,3,,,10,3,1,2,1,2,2,"",2,2,1,1,1,2,2,7,2,1,1
203191071,0.860527929,28,2,2,8,809,80907,5,8,2,,,3,1,2,11,1,9,2,7,2,8,2,2,1,1,5,3,2,3,6,2,10,3,8,3,7,3,4,2,4,1,5,2,2,1,1,3000,3,272.73,1,1,1,1,2,2,2,2,2,3,2,2,2,1,1,8,3,8,3,9,3,10,3,2,2,1,2,2,"",2,2,1,1,1,2,2,7,2,7,3
203190628,0.906404751,45,3,1,3,305,30504,4,7,2,,,2,1,2,5,1,10,2,9,2,5,1,2,1,1,4,2,1,3,10,3,10,3,10,3,10,3,4,2,4,1,5,3,2,1,1,10000,4,2000,4,3,2,2,1,1,3,4,4,4,1,2,3,2,1,10,3,10,3,10,3,9,3,2,2,2,2,4,"",4,4,5,2,2,2,2,7,2,6,2
203190113,0.906404751,67,3,1,15,1508,150801,3,3,2,,,1,1,2,2,2,7,2,99,99,5,1,1,4,2,7,4,3,99,10,3,3,1,10,3,10,3,2,3,4,1,5,4,3,2,,1500,2,750,3,,,,3,3,99,4,99,3,3,1,3,,1,2,1,1,1,10,3,8,3,99,99,2,99,77,ALIMENTACIÓN PARA LOS NIÑOS Y ANCIANOS,77,77,2,1,1,98,4,7,2,1,1
203189880,0.906404751,60,3,1,23,2301,230109,4,4,2,,,1,1,2,3,1,4,1,1,1,1,1,1,8,1,7,4,3,4,2,1,2,1,1,1,1,1,2,3,4,1,1,3,2,3,3,1200,2,400,2,4,2,3,3,1,1,1,3,3,3,2,1,,1,1,1,1,1,10,3,9,3,2,2,2,2,3,"",3,3,1,1,1,2,2,7,2,99,
203189624,1.390799054,23,1,2,23,2301,230111,4,4,2,,,1,2,3,5,1,5,1,5,1,2,1,1,6,2,8,5,3,3,10,3,10,3,10,3,8,3,3,1,3,1,5,2,2,2,2,2000,2,400,2,3,2,2,1,1,1,2,1,2,3,1,1,3,1,10,3,10,3,3,1,1,1,1,2,1,2,1,"",1,1,1,1,1,4,3,7,2,1,1
203189359,1.232805175,55,3,1,8,804,80408,4,7,2,,,2,2,3,4,1,2,1,1,1,1,1,1,1,1,8,5,3,3,10,3,1,1,10,3,1,1,4,1,4,1,99,4,3,3,2,1200,2,300,1,4,2,3,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,99,99,1,99,77,A LOS ÚLTIMOS,3,3,1,1,1,3,3,1,1,1,1
203189349,1.232805175,58,3,1,3,304,30404,4,7,2,,,2,2,3,6,1,2,1,2,1,1,1,1,1,1,8,5,3,3,1,1,1,1,2,1,1,1,2,1,3,1,1,4,3,2,1,3000,3,500,2,3,2,2,1,1,1,2,1,2,2,2,1,1,1,10,3,3,1,10,3,5,2,2,2,1,2,2,"",2,2,4,1,1,3,3,1,1,5,2
203189081,1.232805175,45,3,1,8,807,80704,4,7,2,,,2,2,3,6,1,5,1,99,99,1,1,1,1,1,7,4,3,3,1,1,1,1,10,3,1,1,2,1,4,1,3,3,2,1,1,,,,,1,1,1,3,1,1,3,4,99,1,1,1,1,1,,,1,1,1,1,10,3,99,2,1,2,1,"",1,1,,,,3,3,1,1,99,
203187961,0.860527929,35,2,2,12,1203,120305,5,8,2,,,3,1,2,4,2,5,1,7,2,3,1,2,6,2,7,4,3,4,5,2,6,2,7,3,8,3,2,3,2,2,4,2,2,1,,4000,4,1000,4,3,2,2,1,3,3,4,4,3,3,1,3,1,1,4,1,5,2,6,2,8,3,1,2,2,2,77,IMPUESTOS Y PEAJES QUE HAY EN LIMA. COBRAN CARO Y LAS CARRETERAS ESTÁN MALOGRADAS.,77,77,10,3,3,2,2,7,2,8,3
203187166,0.906404751,40,3,1,13,1301,130104,2,2,2,,,1,1,2,4,1,2,1,3,1,99,99,1,5,2,8,5,3,3,1,1,4,1,5,2,9,3,2,1,4,1,3,3,2,1,1,300,1,75,1,4,2,3,2,1,2,3,3,1,3,2,2,2,1,9,3,7,3,6,2,8,3,2,2,2,2,1,"",1,1,5,2,2,2,2,7,2,5,2
203187077,1.022567796,18,1,2,8,803,80306,4,7,2,,,2,1,2,3,2,6,2,2,1,3,1,1,3,1,8,5,3,3,8,3,8,3,10,3,5,2,2,1,3,1,1,3,2,1,,500,1,166.67,1,2,1,1,2,2,3,1,1,2,1,1,2,1,1,10,3,10,3,10,3,7,3,2,2,1,2,1,"",1,1,1,1,1,3,3,7,2,2,1
203186773,0.486126106,42,3,2,15,1501,150141,1,1,1,2,2,1,1,1,2,1,10,2,10,2,10,2,2,1,1,2,1,1,3,3,1,3,1,3,1,9,3,4,1,4,1,5,2,2,1,1,8000,4,4000,4,2,1,1,1,2,1,2,3,2,2,1,1,1,1,9,3,6,2,6,2,8,3,2,2,2,2,1,"",1,1,1,1,1,2,2,7,2,5,2
203186192,0.860527929,25,2,2,15,1508,150801,3,3,2,,,1,1,2,5,1,9,2,2,1,6,2,2,8,1,7,4,3,3,5,2,5,2,3,1,8,3,4,2,3,1,3,3,2,1,1,1000,1,200,1,,,,1,2,1,1,2,2,2,1,2,1,1,8,3,8,3,2,1,8,3,99,2,99,99,1,"",1,1,1,1,1,2,2,7,2,99,
203186134,1.232805175,43,3,1,15,1508,150801,3,3,2,,,1,2,3,3,1,4,1,2,1,2,1,1,1,1,7,4,3,3,8,3,4,1,1,1,1,1,4,1,1,2,3,2,2,1,2,2500,3,833.33,3,2,1,1,3,1,2,3,4,99,1,2,3,1,1,1,1,3,1,1,1,10,3,2,2,2,2,3,"",3,3,5,2,2,2,2,7,2,10,3
203186108,1.022567796,23,1,2,10,1001,100102,3,6,2,,,2,1,2,6,2,8,2,5,1,99,99,1,3,1,8,5,3,3,5,2,1,1,1,1,5,2,4,2,4,1,1,3,2,1,,2000,2,333.33,2,2,1,1,1,1,3,3,4,3,1,1,3,1,1,7,3,5,2,1,1,10,3,2,2,2,2,2,"",2,2,5,2,2,,,7,2,5,2
203185121,0.860527929,33,2,2,2,218,21801,2,2,2,,,1,1,2,8,1,4,1,3,1,2,1,1,1,1,8,5,3,3,2,1,1,1,9,3,99,99,2,1,4,1,3,,,2,99,,,,,,,,1,1,1,1,1,99,4,2,1,1,1,10,3,10,3,10,3,10,3,99,2,2,2,,"",,,10,3,3,98,4,7,2,99,
203183184,0.874398828,48,3,2,10,1001,100101,3,6,2,,,2,1,2,3,2,2,1,1,1,2,1,1,6,2,8,5,3,99,5,2,1,1,7,3,10,3,3,1,4,1,3,1,1,1,,,,,,4,2,3,1,1,1,1,3,1,4,3,,1,1,10,3,10,3,10,3,,,1,2,1,1,1,"",1,1,,,,2,2,7,2,5,2
