NC,ponderab,edad,edadr,sexo,dep,prov,dist,macrozona,zona2,ambito2,zonali1,zonali2,region,ur,ambito,hogar,hijos18,edu,edu2,edupadre,edupadre2,edumadre,edumadre2,origen,ocupa,ocupa2,NSE,NSE1,NSE2,P01,P02,P02a,P03,P03a,P05,P05a,P06,P06a,P07,P08,P09,P09a,P10,P12,p12a,P13,P14,P15,yhogar,yhogar_pc1,yhogar_pc2,P16,P16a,P16b,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P28a,P29,P29a,P30,P30a,P32,P32a,P33,P34,P35,P36,P37,P37otros,P37a,P37b,P38,P38a,P38b,etnicidad,etnicidad2,lengua,lengua2,ideología,ideología2
202870677,1.213248749,32,2,1,13,1308,130809,2,5,2,,,2,2,3,4,2,5,1,1,1,1,1,1,1,1,8,5,3,3,10,3,7,3,3,1,1,1,2,2,4,1,1,4,3,1,,2000,2,500,2,3,2,2,3,1,3,3,3,4,4,4,1,1,1,9,3,9,3,6,2,9,3,2,1,1,1,1,"",1,1,7,3,3,2,2,7,2,5,2
202870445,0.874398828,52,3,2,21,2111,211101,4,7,2,,,2,1,2,4,1,5,1,1,1,3,1,1,8,1,7,4,3,3,1,1,1,1,1,1,10,3,3,2,2,2,1,4,3,2,1,,,,,,,,2,2,2,3,3,99,1,1,2,2,1,10,3,10,3,10,3,10,3,2,2,2,2,2,"",2,2,1,1,1,2,2,7,2,1,1
202869060,1.480410416,22,1,1,15,1501,150140,1,1,1,2,2,1,1,1,3,2,7,2,9,2,9,2,2,3,1,4,2,1,4,6,2,8,3,4,1,7,3,3,3,4,1,2,2,2,3,,900,1,300,1,1,1,1,1,3,2,3,3,3,1,1,2,1,1,7,3,7,3,1,1,6,2,2,1,2,1,2,"",2,2,7,3,3,2,2,7,2,6,2
202867586,0.874398828,51,3,2,20,2006,200602,2,2,2,,,1,1,2,5,1,2,1,1,1,1,1,1,6,2,8,5,3,99,10,3,1,1,9,3,8,3,,2,4,1,99,1,1,3,1,1500,2,300,1,4,2,3,1,3,4,3,1,2,,3,2,1,2,9,3,7,3,9,3,6,2,99,99,99,1,,"",,,8,3,3,1,1,,,7,3
202865866,1.189273775,47,3,2,13,1301,130108,2,2,2,,,1,2,3,5,2,3,1,2,1,2,1,1,8,1,8,5,3,3,1,1,1,1,1,1,10,3,4,1,99,99,1,4,3,1,,2500,3,500,2,4,2,3,2,1,1,99,4,99,1,1,1,1,1,,,,,10,3,,,1,2,1,2,1,"",1,1,10,3,3,,,7,2,99,
202865366,0.860527929,25,2,2,4,401,40110,4,7,2,,,2,1,2,7,1,6,2,4,1,4,1,1,2,2,8,5,3,3,5,2,3,1,8,3,10,3,4,1,4,1,5,3,2,1,2,1000,1,142.86,1,4,2,3,1,2,1,1,2,2,1,1,3,1,1,10,3,5,2,10,3,10,3,1,2,2,2,2,"",2,2,1,1,1,2,2,7,2,1,1
202865268,0.976582379,75,3,2,15,1501,150118,1,1,1,5,5,1,1,1,2,2,5,1,2,1,1,1,1,6,2,6,3,2,3,1,1,1,1,10,3,1,1,4,1,1,2,5,3,2,1,,2000,2,1000,4,3,2,2,2,2,2,2,4,3,1,1,1,1,1,1,1,1,1,10,3,10,3,2,1,2,2,2,"",2,2,1,1,1,2,2,7,2,10,3
202860345,0.552920363,47,3,2,15,701,70106,1,1,1,6,,1,1,1,1,1,5,1,99,99,5,1,1,6,2,8,5,3,3,2,1,9,3,9,3,1,1,4,2,4,1,2,2,2,3,1,3000,3,3000,4,4,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,10,3,1,1,2,2,1,2,77,POBREZA,3,3,1,1,1,2,2,7,2,10,3
202860284,0.906404751,61,3,1,1,101,10101,2,5,2,,,2,1,2,2,2,5,1,2,1,2,1,1,1,1,8,5,3,3,5,2,5,2,2,1,2,1,4,1,2,2,5,4,3,1,,3000,3,1500,4,3,2,2,2,1,2,2,4,1,3,3,3,3,1,7,3,8,3,5,2,5,2,2,2,1,2,2,"",2,2,8,3,3,2,2,7,2,5,2
202857860,0.996269634,25,2,1,15,1501,150137,1,1,1,5,5,1,1,1,8,2,6,2,99,99,5,1,1,3,1,5,3,2,2,1,1,6,2,8,3,7,3,3,3,4,1,1,3,2,1,,3500,4,437.5,2,1,1,1,1,2,2,4,2,4,4,2,2,1,1,7,3,10,3,6,2,5,2,2,2,1,2,1,"",1,1,5,2,2,2,2,7,2,9,3
202856706,1.28191221,19,1,1,15,1501,150105,1,1,1,1,1,1,1,1,4,2,5,1,7,2,99,99,2,1,1,7,4,3,4,5,2,1,1,5,2,10,3,4,2,3,1,5,2,2,1,,500,1,125,1,2,1,1,2,1,2,2,3,2,2,3,2,2,1,10,3,10,3,10,3,10,3,1,2,2,2,,"",,,10,3,3,,,7,2,10,3
